sample_idx,model_type,rel_l2,pde_residual
0,PI-FNO,0.25471609830856323,7.8031086921691895
0,Data-Driven FNO,0.2653040885925293,11.82007122039795
1,PI-FNO,0.486542671918869,36.7230110168457
1,Data-Driven FNO,0.44606882333755493,51.0770378112793
2,PI-FNO,0.33732396364212036,6.685022830963135
2,Data-Driven FNO,0.34035372734069824,13.804850578308105
3,PI-FNO,0.38805216550827026,91.07152557373047
3,Data-Driven FNO,0.3804512023925781,147.2150421142578
4,PI-FNO,0.28717222809791565,41.451385498046875
4,Data-Driven FNO,0.32128050923347473,56.642784118652344
5,PI-FNO,0.4270852208137512,150.1847686767578
5,Data-Driven FNO,0.42932310700416565,231.97991943359375
6,PI-FNO,0.32057952880859375,28.799972534179688
6,Data-Driven FNO,0.3953021466732025,63.287017822265625
7,PI-FNO,0.5411800742149353,29.87031364440918
7,Data-Driven FNO,0.6019942164421082,55.434349060058594
8,PI-FNO,0.3104880154132843,54.043270111083984
8,Data-Driven FNO,0.3068491816520691,95.3250961303711
9,PI-FNO,0.5896066427230835,53.35210037231445
9,Data-Driven FNO,0.5684080123901367,65.1840591430664
10,PI-FNO,0.308113157749176,66.61316680908203
10,Data-Driven FNO,0.3537410497665405,98.92326354980469
11,PI-FNO,0.7103769183158875,9.756896018981934
11,Data-Driven FNO,0.7621470093727112,16.264083862304688
12,PI-FNO,0.3645198941230774,58.830204010009766
12,Data-Driven FNO,0.41079914569854736,94.7339096069336
13,PI-FNO,0.6060299873352051,73.80437469482422
13,Data-Driven FNO,0.5509161353111267,103.027099609375
14,PI-FNO,0.5626238584518433,3.3663864135742188
14,Data-Driven FNO,0.5030695796012878,6.893476486206055
15,PI-FNO,0.4075603783130646,142.11598205566406
15,Data-Driven FNO,0.41359955072402954,231.9958038330078
16,PI-FNO,0.2394709289073944,60.870933532714844
16,Data-Driven FNO,0.28647369146347046,83.07681274414062
17,PI-FNO,0.23296192288398743,16.494403839111328
17,Data-Driven FNO,0.2718319594860077,30.204923629760742
18,PI-FNO,0.45645037293434143,70.28990173339844
18,Data-Driven FNO,0.5063870549201965,79.49632263183594
19,PI-FNO,0.19889038801193237,7.138179779052734
19,Data-Driven FNO,0.23242709040641785,9.860435485839844
20,PI-FNO,0.6121087074279785,16.493091583251953
20,Data-Driven FNO,0.6136538982391357,32.22199630737305
21,PI-FNO,0.7222957611083984,107.32074737548828
21,Data-Driven FNO,0.696298360824585,138.98281860351562
22,PI-FNO,0.3882730007171631,106.6604995727539
22,Data-Driven FNO,0.40617048740386963,183.1829071044922
23,PI-FNO,0.39026540517807007,43.33049774169922
23,Data-Driven FNO,0.3842872679233551,69.38763427734375
24,PI-FNO,0.3574281334877014,29.426464080810547
24,Data-Driven FNO,0.3509713113307953,58.51398849487305
25,PI-FNO,0.4941105246543884,18.53302001953125
25,Data-Driven FNO,0.5777103900909424,29.99386978149414
26,PI-FNO,0.5848069190979004,67.61257934570312
26,Data-Driven FNO,0.5553825497627258,81.7327651977539
27,PI-FNO,0.5459072589874268,6.453090667724609
