size,mse_mean,mse_std,rel_l2_mean,rel_l2_std,pinn_mean,pinn_std
64,13.53190235068798,11.922508749455035,0.6748617836892605,0.13963681342234752,62.75597031061649,57.52967678837066
128,9.63237582578659,9.256182838414286,0.5628766957998276,0.150095028128952,54.88282433512211,50.835893324978564
256,6.781065621882677,7.522886226998649,0.4697639417231083,0.17802828215483532,47.29554911596775,44.47972486503266
512,4.725014023287594,6.428428350953218,0.3788714954927564,0.1860280721313971,39.16494744781256,36.23251196869666
1024,2.7150412659481167,4.646101067241921,0.2764488397270441,0.15563169220371462,31.164688155937196,28.034674634585226
